"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source"
"Zeng H.; Li R.Y.M.; Zeng L.","Zeng, Huiling (57928967900); Li, Rita Yi Man (35189135600); Zeng, Liyun (57745627500)","57928967900; 35189135600; 57745627500","Evaluating green supply chain performance based on ESG and financial indicators","2022","Frontiers in Environmental Science","10","","982828","","","","29","10.3389/fenvs.2022.982828","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140648897&doi=10.3389%2ffenvs.2022.982828&partnerID=40&md5=8cfbc8ee2943f92f53737e87d42c9b30","Rajamangala University of Technology Tawan-Ok, Chonburi, Thailand; Sustainable Real Estate Research Center, Department of Economics and Finance, Hong Kong Shue Yan University, Hong Kong; Civil and Architectural Engineering Institute, Panzhihua University, Panzhihua, China","Zeng H., Rajamangala University of Technology Tawan-Ok, Chonburi, Thailand; Li R.Y.M., Sustainable Real Estate Research Center, Department of Economics and Finance, Hong Kong Shue Yan University, Hong Kong; Zeng L., Civil and Architectural Engineering Institute, Panzhihua University, Panzhihua, China","To reduce carbon emission and enhance social development simultaneously, “Environmental, Social and Governance” (ESG) plays a significant role in supply chain management. The study collected 2,400 financial data and ESG performance of 200 companies from the Clean 200 list of global public companies from 2019 to 2021. It aimed to: 1) evaluate green supply chain performance based on financial indicators and corporate’s ESG performance; 2) use the entropy weight method (EWM) to determine the weight of ESG elements in green supply chain; 3) validate this ESG-based green supply chain performance using real world examples. The results showed that operational performance had the highest weight, followed by environmental performance, and profitability ranked the last. The results suggested that managers should focus more on the governance and environment rather than emphasizing short-term financial benefits. It contributes to the literature by incorporating ESG to evaluate green supply chain performance, which is the first of its kind. The results would be beneficial when people wish to select supply chain partners. They are also conducive to companies’ managers and listed companies when they submit financial reports that need to report ESG performance. Copyright © 2022 Zeng, Li and Zeng.","carbon emissions; ESG; green supply chain; index; supply chain performance","","H. Zeng; Rajamangala University of Technology Tawan-Ok, Chonburi, Thailand; email: treasazeng@126.com; L. Zeng; Civil and Architectural Engineering Institute, Panzhihua University, Panzhihua, China; email: nonsar@foxmail.com","English","Front. Environ. Sci.","Article","Final","All Open Access; Gold Open Access","Scopus"
"Li L.; Liu X.; Hu M.","Li, Linze (57304193500); Liu, Xuexin (55750784400); Hu, Man (57730231600)","57304193500; 55750784400; 57730231600","Textile and apparel supply chain coordination under ESG related cost-sharing contract based on stochastic demand","2024","Journal of Cleaner Production","437","","140491","","","","11","10.1016/j.jclepro.2023.140491","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182873412&doi=10.1016%2fj.jclepro.2023.140491&partnerID=40&md5=402a50f094fb93ab495efd8382bd9306","College of Business Administration, Capital University of Economics and Business, Beijing, 100070, China","Li L., College of Business Administration, Capital University of Economics and Business, Beijing, 100070, China; Liu X., College of Business Administration, Capital University of Economics and Business, Beijing, 100070, China; Hu M., College of Business Administration, Capital University of Economics and Business, Beijing, 100070, China","In recent years, heightened attention has been given to the challenges of sustainable development precipitated by environmental pollution in the Textile and Apparel (TA) industry. The burgeoning demand for fast fashion, often reliant on cheap and environmentally unsustainable textiles, exacerbates this environmental degradation. To facilitate a harmonized and sustainable progression of the entire TA industry, this study employs the Stackelberg game model to investigate the prerequisites for establishing Environmental, Social, and Governance (ESG) related cost-sharing contracts and their consequential effects on supply chain coordination. Specifically, the paper compares four distinct supply chain models under two conditions: whether market demand is stochastic or deterministic. Through this comparative analysis, the study finds that the ESG related cost-sharing contracts bring more profit to the textile and apparel supply chain (TASC) in deterministic and stochastic demand, which effectively mitigates the risks associated with unpredictable demand. Numerical results indicate that the ESG cost-sharing contract significantly improves TASC's ESG performance with customers' sustainable awareness increasing. Furthermore, such contracts are instrumental in enhancing the aggregate ESG environmental performance of the Textile and Apparel Supply Chain (TASC), elevating profits for both manufacturers and retailers and alleviating the impact of fluctuating demand on supply chain participants. © 2024 Elsevier Ltd","ESG cost-sharing; Stochastic demand; Supply chain system; Textile and apparel industries","Cost benefit analysis; Cost effectiveness; Environmental management; Profitability; Risk assessment; Stochastic models; Stochastic systems; Supply chains; Sustainable development; Textile industry; Apparel industry; Apparel supply chains; Cost sharing; Cost sharing contracts; Environmental, social, and governance cost-sharing; Stochastic-demand; Supply chain coordination; Supply chain systems; Textile and apparel industry; Textile supply chain; Textiles","M. Hu; Capital University of Economics and Business, Beijing, 121 Zhangjialukou, Fengtai Area, 100070, China; email: human0104@163.com","English","J. Clean. Prod.","Article","Final","","Scopus"
"Peer M.","Peer, Miriam (58861070300)","58861070300","Corporate Sustainability Due Diligence and Green Procurement in the EU—Analysis of the Planned CSDD Directive and its Implications for Public Procurement by Comparison with the German Supply Chain Regulation (LkSG)","2024","Public Procurement Law Review","33","1","","1","13","12","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183907687&partnerID=40&md5=e2c495b41b69c01484d5065e4cd3bf03","","","This article comprehensively analyses the planned European Corporate Sustainability Due Diligence Directive (CSDD Directive), focusing on its potential implications for public procurement. Starting with an overview of the CSDD Directive’s legislative process and main obligations, this article then focuses on conducting a comparative study between the CSDD Directive and the German Supply Chain Regulation (“Lieferkettensorgfaltspflichtengesetz”). The two regulations share similarities in terms of structure and scope, enabling a meaningful comparison. Notably, the German Regulation contains a procurement clause (s.22), that allows exclusion of non-compliant companies from public procurement procedures. This provision is unparalleled among the European Union’s mandatory due diligence laws and sets a precedent for the European legislator. This article argues that including a clause similar to s.22 of the German Regulation in the CSDD Directive would serve the overarching goal of sustainability, help prevent human rights violations and promote the CSDD Directive’s enforceability. This article outlines the effects of such a procurement clause on companies and contracting authorities, as well as its potential impact on Member State legislation, particularly the German. The findings are of value to policymakers, companies, government authorities, and other stakeholders interested in sustainable procurement practices. © 2023 Thomson Reuters and Contributors.","Due diligence; Environmental social governance; EU law; Germany; Public procurement; Supply chains; Sustainability","","","English","Public. Procure. Law. Rev.","Article","Final","","Scopus"
"Karaman A.S.; Ellili N.O.D.; Uyar A.","Karaman, Abdullah S. (36850344100); Ellili, Nejla Ould Daoud (39261406000); Uyar, Ali (24448916800)","36850344100; 39261406000; 24448916800","Do sustainable supply chain practices mitigate carbon emissions? The role of supplier environmental, social and governance training","2024","Business Strategy and the Environment","33","8","","8126","8148","22","5","10.1002/bse.3931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201046662&doi=10.1002%2fbse.3931&partnerID=40&md5=71bad7ba979a40bba81263d3678fec93","Winthrop University, Rock Hill, SC, United States; College of Business, Abu Dhabi University, Abu Dhabi, United Arab Emirates; CERIIM, Excelia Business School, La Rochelle, France","Karaman A.S., Winthrop University, Rock Hill, SC, United States; Ellili N.O.D., College of Business, Abu Dhabi University, Abu Dhabi, United Arab Emirates; Uyar A., CERIIM, Excelia Business School, La Rochelle, France","Over 75% of a firm's carbon footprint is attributed to logistics activities and transportation related to the acquisition, production, and distribution of materials and goods. Green supply chain management is considered a way to reduce carbon emissions and address climate change concerns. Accordingly, this study aims to investigate whether sustainable supply chain practices reduce carbon emissions and whether supplier environmental, social, and governance (ESG) training further enhances this effect, thereby reinforcing the negative association. We collected data for an international sample of manufacturing firms from Thomson Reuters Eikon for the period between 2002 and 2021 and ran a country–year fixed-effects regression. To address endogeneity, we also utilized two-stage least squares regression, propensity score matching, and entropy balancing. Our findings indicate that sustainable supply chain practices alleviate carbon emissions. Furthermore, we found that supplier ESG training strengthens this relationship, leading to even higher reductions in carbon emissions. Specifically, this training reinforces the negative association between sustainable supply chain practices and carbon emissions, resulting in a more pronounced decrease in carbon emissions. These results are robust to alternative proxies, samples, and endogeneity concerns. Our study highlights the importance of policy development and collaborative interorganizational actions among supply chain partners in developing solutions to climate change issues. As supply chain activities generate high levels of emissions and regulatory press is mounting, our findings may help firms take proactive actions for greener supply chain management and avoid regulatory sanctions. Additionally, we found that institutional strength stimulates firms' clean supply chain practices. Therefore, we advise policymakers to develop and implement necessary policies in less developed countries with weak public environmental regulations. © 2024 ERP Environment and John Wiley & Sons Ltd.","carbon emission; ESG training; green supply chain; stakeholder theory; sustainable supply chain","carbon emission; climate change; supply chain management; sustainability; training","A.S. Karaman; Winthrop University, Rock Hill, 29733, United States; email: abdullahkaraman@gmail.com","English","Bus. Strategy Environ.","Article","Final","","Scopus"
"Memari Z.; Niazitabar M.; Dickson G.; Pouyandekia M.","Memari, Zhaleh (57219186290); Niazitabar, Maryam (59299328800); Dickson, Geoff (7103204907); Pouyandekia, Mehri (57221603217)","57219186290; 59299328800; 7103204907; 57221603217","Corporate social responsibility, supply chain management, and football industry: a systematic review","2024","Sport in Society","27","10","","1624","1657","33","0","10.1080/17430437.2024.2341075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191017363&doi=10.1080%2f17430437.2024.2341075&partnerID=40&md5=69b1ce13d3e55544480babc5429281cf","Department of Sport Management, Faculty of Sport Sciences, Alzahra University, Tehran, Iran; Sport Management, Centre for Sport and Social Impact, La Trobe University, Melbourne, Australia; Department of Sports Management, Faculty of Sport Science and Health, Tehran University, Tehran, Iran","Memari Z., Department of Sport Management, Faculty of Sport Sciences, Alzahra University, Tehran, Iran; Niazitabar M., Department of Sport Management, Faculty of Sport Sciences, Alzahra University, Tehran, Iran; Dickson G., Sport Management, Centre for Sport and Social Impact, La Trobe University, Melbourne, Australia; Pouyandekia M., Department of Sports Management, Faculty of Sport Science and Health, Tehran University, Tehran, Iran","This study examines the literature on supply chain management and corporate social responsibility within football. A systematic search of eight databases yielded 1222 articles, subsequently reduced to 107 after a combination of duplication removal and both abstract and full-text analysis. The review showed that only some studies have investigated CSR, SCM, and football simultaneously. Clustering reveals the current state of scholarly research on CSR in football industry supply chains and some significant areas where the authors discuss several sub-themes emerging with each cluster. The synergistic and miraculous role of attention to the trilogy between SCM, CSR, and the football business is crucial in creating the most advantages in society. We conclude that CSR, with the firm’s Environmental, and Governance-based engagement, can lead to sustainable supply chains and higher efficiency. We have suggested that CSR in football supply chains helps develop the football industry and increase public trust and social welfare. © 2024 Informa UK Limited, trading as Taylor & Francis Group.","Business; CSR; ESG; Football clubs; SCM","article; commercial phenomena; corporate social responsibility; data base; football; human; industry; social welfare; systematic review; United Kingdom","Z. Memari; Sport Management Department, Sport Sciences Faculty, Alzahra University, Tehran, Iran; email: zh.memari@alzahra.ac.ir","English","Sport Soc.","Article","Final","","Scopus"
"Ortas E.; Álvarez I.; Garayar A.","Ortas, Eduardo (35737853000); Álvarez, Igor (56522498600); Garayar, Ainhoa (56523342900)","35737853000; 56522498600; 56523342900","The environmental, social, governance, and financial performance effects on companies that adopt the United Nations Global Compact","2015","Sustainability (Switzerland)","7","2","","1932","1956","24","82","10.3390/su7021932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923210245&doi=10.3390%2fsu7021932&partnerID=40&md5=296e410fa72007259b752e4597c73ea4","Accounting and Finance Department, Faculty of Economics and Business Administration, University of Zaragoza, C\Gran Vía no 2, Zaragoza, 50005, Spain; Financial Economics Department, Faculty of Economics and Business Administration, University of Basque Country, C\Oñati no 1, San Sebastián, 20018, Spain","Ortas E., Accounting and Finance Department, Faculty of Economics and Business Administration, University of Zaragoza, C\Gran Vía no 2, Zaragoza, 50005, Spain; Álvarez I., Accounting and Finance Department, Faculty of Economics and Business Administration, University of Zaragoza, C\Gran Vía no 2, Zaragoza, 50005, Spain; Garayar A., Financial Economics Department, Faculty of Economics and Business Administration, University of Basque Country, C\Oñati no 1, San Sebastián, 20018, Spain","This paper aims to investigate companies' environmental, social, governance (ESG), and financial implications of their commitment to the United Nations Global Compact (UNGC). The focus is placed on companies operating in the three countries with the highest number of UNGC participants: Spain, France, and Japan. The results clearly reveal that adoption of the UNGC often requires an organizational change that fosters stakeholder engagement, ultimately resulting in improvements in companies' ESG performance. Additionally, the results reveal that ESG performance has a significant impact on financial performance for companies that adopted the principles of the UNGC. These findings provide both non-financial and financial incentives to companies to commit to this voluntary corporate social responsibility (CSR) initiative, which will have important implications on companies' strategic management policies that aim to foster sustainable businesses and community development. Finally, the linkages between the UNGC-committed companies' ESG and financial performance may be influenced by geographical spread, mainly due to the appearance of differences in the institutional, societal, and cultural settings. © 2015 by the authors.","Environmental performance; Social performance; Stakeholder theory; Stakeholders; Sustainable development; United Nations Global Compact","France; Japan; Spain; business development; community development; geographical variation; stakeholder; sustainable development","E. Ortas; Accounting and Finance Department, Faculty of Economics and Business Administration, University of Zaragoza, Zaragoza, C\Gran Vía no 2, 50005, Spain; email: edortas@unizar.es","English","Sustainability","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Kumar M.; Raut R.D.; Mangla S.K.; Chowdhury S.; Choubey V.K.","Kumar, Mukesh (55960498600); Raut, Rakesh D. (42262603800); Mangla, Sachin Kumar (55735821600); Chowdhury, Soumyadeb (57201962502); Choubey, Vikas Kumar (57510484600)","55960498600; 42262603800; 55735821600; 57201962502; 57510484600","Moderating ESG compliance between industry 4.0 and green practices with green servitization: Examining its impact on green supply chain performance","2024","Technovation","129","","102898","","","","42","10.1016/j.technovation.2023.102898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174439294&doi=10.1016%2fj.technovation.2023.102898&partnerID=40&md5=8ffce1d8fdb7d1e78f648b0169188d96","Department of Mechanical Engineering, National Institute of Technology Patna, 800005, India; Operations and Supply Chain Management, Indian Institute of Management (IIM), Mumbai Vihar Lake, Powai, Maharashtra, Mumbai, 400087, India; Research Centre – ‘Digital Circular Economy for Sustainable Development Goals (DCE-SDG)’, Jindal Global Business School, O P Jindal Global University, Haryana, India; Information Operations and Management Sciences Department, TBS Business School, 1 Place Alphonse Jourdain, Toulouse, 31068, France","Kumar M., Department of Mechanical Engineering, National Institute of Technology Patna, 800005, India; Raut R.D., Operations and Supply Chain Management, Indian Institute of Management (IIM), Mumbai Vihar Lake, Powai, Maharashtra, Mumbai, 400087, India; Mangla S.K., Research Centre – ‘Digital Circular Economy for Sustainable Development Goals (DCE-SDG)’, Jindal Global Business School, O P Jindal Global University, Haryana, India; Chowdhury S., Information Operations and Management Sciences Department, TBS Business School, 1 Place Alphonse Jourdain, Toulouse, 31068, France; Choubey V.K., Department of Mechanical Engineering, National Institute of Technology Patna, 800005, India","Servitization and Industry 4.0 are the two most significant issues in a recent study on manufacturing strategy changes for economic and sustainable growth. Questions were raised on how Industry 4.0 and green practices improve green supply chain performance with the mediation role of green servitization? Green servitization now addresses product service systems and environmental impacts. This study is crucial because environmental unpredictability is causing the supply chain to migrate toward green and digital supply chains, which reduce environmental impact and increase efficiency. The institutional and resource-based view theory-based research model checks the moderation of Environmental, social and government (ESG) compliance and the mediation role of green servitization for environmental advantages. It helps to develop a research model. Structural equation modeling applies to check the model and hypotheses' significance. The unique research model with the three hypotheses is validated with less than two-tailed 0.001 significance, showing that Industry 4.0 and green practices positively affect green servitization and green supply chain (GSC) performance while moderating ESG compliance. This research also reveals that green servitization mediates and ESG compliance moderates the association between Industry 4.0, green practices, and GSC performance. Based on our unique results, managers should adopt green servitization to boost GSC performance. © 2023 Elsevier Ltd","Environmental; Green practice (GPRAC); Green servitization (GRSER); Green supply chain (GSC); Industry 4.0 (IND 4.0); Product service systems (PSS); Social and government (ESG) compliance; Structural equation modeling (SEM)","Compliance control; Industry 4.0; Model checking; Supply chains; Sustainable development; Environmental; Environmental compliance; Government compliance; Green practice; Green servitization; Green supply chain; Industry 4.0; Product service system; Product-service systems; Servitization; Social and government (environmental, social and government) compliance; Structural equation modeling; Structural equation models; Environmental impact","R.D. Raut; Operations and Supply Chain Management, Indian Institute of Management (IIM), Mumbai, Mumbai Vihar Lake, Powai, Maharashtra, 400087, India; email: rraut@nitie.ac.in","English","Technovation","Article","Final","","Scopus"
"Dunwoodie Stirton F.; Hiscock R.; Mehegan J.; Gallagher A.W.A.; Bloomfield M.J.","Dunwoodie Stirton, Fred (57053445700); Hiscock, Rosemary (16836664800); Mehegan, John (36025591200); Gallagher, Allen W A (57202494455); Bloomfield, Michael J (55440080600)","57053445700; 16836664800; 36025591200; 57202494455; 55440080600","Independent companies in the tobacco supply chain: transparency and environmental social governance","2025","Tobacco Control","","","","","","","0","10.1136/tc-2024-058978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215281485&doi=10.1136%2ftc-2024-058978&partnerID=40&md5=f4f197a5a3f77dce1502ad6f90cafb09","Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; Centre for Development Studies, Department of Social and Policy Sciences, University of Bath, Bath, United Kingdom","Dunwoodie Stirton F., Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; Hiscock R., Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; Mehegan J., Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; Gallagher A.W.A., Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; Bloomfield M.J., Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom, Centre for Development Studies, Department of Social and Policy Sciences, University of Bath, Bath, United Kingdom","Objective: Previous research has identified that transnational tobacco companies lack transparency and that they hide their harms to health and nature behind environmental, social and governance (ESG) reporting. Our objective was to find whether independent tobacco supply chain companies similarly lack transparency on tobacco-related activities while prominently displaying ESG. Methods: In this cross-sectional study, mentions of tobacco supply chain activities and ESG company official documentation and websites were explored for independent tobacco supply chain companies (n=80) with identified annual reports included in the Tobacco Supply Chain Database. Bivariable statistical analysis tested for differences in the visibility of tobacco supply chain contribution and ESG within official documents and websites. In depth exploration was undertaken for seven case study companies. Results: Independent tobacco supply chain companies were significantly less likely to mention their tobacco supply chain contribution than ESG (31% and 80%, respectively p<0.001) in annual reporting. Tobacco supply chain contribution was also less prominent than ESG on websites (29% and 79%, respectively, mentioned on the home page or a home page menu p<0.001). The companies were making median annual profits of over US$2 million (n=76), with a large variation of revenue from tobacco activity (5-100%) where it was reported (n=9). Conclusions: Independent tobacco supply chain companies undertake ESG activities that they prominently display in official reporting and on websites while often being less transparent about their tobacco supply chain contribution. Potential investors and customers may thus be misled about the companies' true nature. More rigorous reporting requirements are needed.  © Author(s) (or their employer(s)) 2025. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ Group.","Environment; Surveillance and monitoring; Tobacco industry; Tobacco industry documents","","R. Hiscock; Tobacco Control Research Group, Department for Health, University of Bath, Bath, United Kingdom; email: R.Hiscock@bath.ac.uk","English","Tob. Control","Article","Article in press","","Scopus"
"Cai C.; Hazaea S.A.; Hael M.; Al-Matari E.M.; Alhebri A.; Alfadhli A.M.H.","Cai, Chun (57676492600); Hazaea, Saddam A. (57223125703); Hael, Mohammed (58814799000); Al-Matari, Ebrahim Mohammed (56181353400); Alhebri, Adeeb (57218556174); Alfadhli, Abdulmajeed Mawhan H. (59146987400)","57676492600; 57223125703; 58814799000; 56181353400; 57218556174; 59146987400","Mapping the Landscape of the Literature on Environmental, Social, Governance Disclosure and Firm Value: A Bibliometric Analysis and Systematic Review","2024","Sustainability (Switzerland) ","16","10","4239","","","","1","10.3390/su16104239","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194382079&doi=10.3390%2fsu16104239&partnerID=40&md5=c54801bce74ac6a2aca03f5e4bb76faf","School of Accounting, Southwestern University of Finance and Economics, Chengdu, 611130, China; School of Business, Yunnan University of Finance and Economics, Kunming, 650221, China; Department of Accounting, College of Business, Jouf University, Sakakah, 75911, Saudi Arabia; Accounting Program, Applied College at Muhyle Assir, King Khalid University, P.O. Box 7539, Muhyle, 61735, Saudi Arabia; Department of Internal Audit, King Saud University, P.O. Box 2454, Riyadh, 11451, Saudi Arabia","Cai C., School of Accounting, Southwestern University of Finance and Economics, Chengdu, 611130, China; Hazaea S.A., School of Accounting, Southwestern University of Finance and Economics, Chengdu, 611130, China; Hael M., School of Business, Yunnan University of Finance and Economics, Kunming, 650221, China; Al-Matari E.M., Department of Accounting, College of Business, Jouf University, Sakakah, 75911, Saudi Arabia; Alhebri A., Accounting Program, Applied College at Muhyle Assir, King Khalid University, P.O. Box 7539, Muhyle, 61735, Saudi Arabia; Alfadhli A.M.H., Department of Internal Audit, King Saud University, P.O. Box 2454, Riyadh, 11451, Saudi Arabia","Increased interest in sustainability and related issues has led to the development of disclosed corporate information on environmental, social, and governance (ESG) issues. Additionally, questions have arisen about whether these disclosures affect the firm’s value. Therefore, we conducted a bibliometric analysis coupled with a systematic literature review (SLR) of the current literature in the Scopus database from 2001 to 2023. We utilized VOS viewer, Site Space, and R Studio tools for this analysis. Our findings indicate that the relationship between ESG disclosures and the firm’s value has different effects and that disclosure impacts through various channels, such as increasing stakeholder trust. Moreover, the keyword analysis results before and after 2015 demonstrate significant advancement in the utilization of a theoretical foundation in the literature. Furthermore, China (Country), “Universidad de Salamanca” (University), “Uyar, Ali and García-Sánchez, Isabel-María” (Authors), and “Sustainability” and “Corporate Social Responsibility and Environmental Management” (Journals) were the most contributing and influential in this field. On the other hand, the results revealed six thematic clusters: society, sustainable development, ESG, organization, innovation, and stakeholders. We found promising research paths and emerging themes through content analysis of these clusters, such as sustainability assurance, green innovation, and sustainable development goals (SDGs). This review concludes by providing a roadmap that includes emerging lines of research that can be explored in depth in future studies to promote better and more comprehensive integration to achieve sustainability and maximize firm value. © 2024 by the authors.","CSR disclosure; ESG disclosure; firm value; sustainable development","China; bibliography; firm size; governance approach; literature review; mapping method; stakeholder; sustainability; sustainable development","S.A. Hazaea; School of Accounting, Southwestern University of Finance and Economics, Chengdu, 611130, China; email: sadhi792@gmail.com; E.M. Al-Matari; Department of Accounting, College of Business, Jouf University, Sakakah, 75911, Saudi Arabia; email: ibrahim_matri7@yahoo.com","English","Sustainability","Review","Final","All Open Access; Gold Open Access","Scopus"
"Minutolo M.C.; Kristjanpoller W.D.; Stakeley J.","Minutolo, Marcel C. (24067691400); Kristjanpoller, Werner D. (55257698500); Stakeley, John (57210844560)","24067691400; 55257698500; 57210844560","Exploring environmental, social, and governance disclosure effects on the S&P 500 financial performance","2019","Business Strategy and the Environment","28","6","","1083","1095","12","138","10.1002/bse.2303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071684658&doi=10.1002%2fbse.2303&partnerID=40&md5=79114d3a804d64c9fbeaccc614ff78b3","School of Business, Department of Management, Robert Morris University, Moon Township, PA, United States; Departamento de Industrias, Universidad Tecnica Federico Santa Maria, Valparaiso, Chile","Minutolo M.C., School of Business, Department of Management, Robert Morris University, Moon Township, PA, United States; Kristjanpoller W.D., Departamento de Industrias, Universidad Tecnica Federico Santa Maria, Valparaiso, Chile; Stakeley J., School of Business, Department of Management, Robert Morris University, Moon Township, PA, United States","Much of the literature measuring the relationship between environmental, social, and governance (ESG) scores and firm performance treats the score as a measure of sustainability performance. In this study, we treat a firm's ESG score as a demonstration of strategic choice in the level of transparency that results in increased firm performance as measured by Tobin's Q and return on assets. Performance differences are a result of choice moderated by the size of the firm as measured by employees and sales. We analyze 467 firms in the S&P 500 from 2009 to 2015. Applying legitimacy and stakeholder theory, we find that there is significant difference between groups with respect to disclosure and performance. The results of quartile analysis by sales, capitalization, and Tobin's Q are relevant to understand the influence that the ESG score has on financial performance. ESG influences on Tobin's Q are greatest for large firms as measured by sales, as opposed to the ESG affects on Tobin's Q and return on asset for smallest firms as measured by market capitalization. © 2019 John Wiley & Sons, Ltd and ERP Environment","corporate social responsibility; environmental social governance; legitimacy theory; performance; stakeholder theory","capital market; corporate social responsibility; environmental impact; finance; governance approach; industrial performance; social status; stakeholder","M.C. Minutolo; School of Business, Department of Management, Robert Morris University, Moon Township, United States; email: minutolo@rmu.edu","English","Bus. Strategy Environ.","Article","Final","","Scopus"
